% ./projectseries.x -T0 0 -T1 400 -bd UBbasis/ -Nb 4 -d data/uUB6 -ul uUB6 -o uUB6.asc 
% forcing dissipation energy
3.0437 3.04592 0.385844
3.04374 3.04543 0.385821
3.04379 3.04506 0.385803
3.04383 3.04471 0.385787
3.04386 3.04436 0.385773
3.04387 3.04404 0.385759
3.04387 3.04382 0.385745
3.04388 3.04372 0.385728
3.04391 3.04371 0.38571
3.04397 3.04372 0.385692
3.04407 3.04367 0.385675
3.04417 3.04351 0.38566
3.04426 3.04326 0.385648
3.04432 3.04298 0.385636
3.04436 3.04275 0.385624
3.04438 3.04263 0.38561
3.04442 3.04264 0.385594
3.04449 3.04272 0.385576
3.0446 3.04281 0.38556
3.04475 3.04284 0.385549
3.04492 3.04278 0.385546
3.04507 3.04268 0.38555
3.0452 3.04261 0.385562
3.04529 3.04265 0.385577
3.04538 3.04287 0.385595
3.0455 3.04325 0.385615
3.04566 3.04374 0.385637
3.04589 3.04424 0.385665
3.04617 3.0447 0.385702
3.04647 3.04507 0.385749
3.04676 3.04539 0.385807
3.04702 3.04576 0.385872
3.04724 3.04628 0.385938
3.04745 3.04698 0.386
3.04768 3.04786 0.386055
3.04797 3.04882 0.386102
3.04833 3.04973 0.386144
3.04873 3.05047 0.386185
3.04915 3.051 0.386225
3.04952 3.05135 0.386266
3.0498 3.05164 0.386301
3.05 3.05199 0.386325
3.05015 3.05248 0.386332
3.05029 3.05311 0.386316
3.05048 3.05376 0.386279
3.05074 3.05429 0.386225
3.05107 3.05453 0.38616
3.0514 3.05442 0.386087
3.05167 3.05399 0.38601
3.05185 3.05341 0.385925
3.05191 3.05284 0.385827
3.05189 3.05245 0.385709
3.05187 3.05223 0.385568
3.05191 3.05211 0.385408
3.05207 3.05188 0.385236
3.05234 3.05137 0.385063
3.05267 3.0505 0.384897
3.05299 3.04933 0.384743
3.05323 3.04808 0.384601
3.05339 3.04702 0.384466
3.05352 3.04637 0.384333
3.05372 3.04619 0.3842
3.05408 3.04635 0.384073
3.05467 3.04663 0.383965
3.05548 3.04678 0.383888
3.05644 3.04669 0.383855
3.05745 3.04645 0.383872
3.05845 3.04639 0.383936
3.05941 3.04687 0.384038
3.06043 3.0482 0.38417
3.06162 3.05042 0.384328
3.06312 3.05331 0.384517
3.06499 3.05648 0.384748
3.06717 3.05955 0.385035
3.06953 3.06232 0.385387
3.0719 3.06492 0.385803
3.07417 3.06778 0.386271
3.07635 3.07138 0.38677
3.07854 3.07604 0.387278
3.08094 3.08167 0.387785
3.08368 3.08786 0.38829
3.0868 3.09398 0.388805
3.09016 3.09946 0.389342
3.09353 3.10404 0.389908
3.09664 3.1079 0.390495
3.09935 3.11161 0.391081
3.10167 3.11581 0.391634
3.10378 3.12083 0.392122
3.10594 3.12649 0.392528
3.10832 3.1322 0.392851
3.11097 3.13716 0.393109
3.1137 3.14068 0.393324
3.11621 3.14249 0.393512
3.11819 3.1429 0.393671
3.11945 3.14264 0.393781
3.12001 3.14258 0.393806
3.12007 3.14321 0.393712
3.11996 3.14439 0.393476
3.11995 3.1455 0.393102
3.12017 3.14567 0.392609
3.12049 3.14411 0.392031
3.12065 3.14043 0.391395
3.12031 3.13486 0.390708
3.11925 3.12826 0.389959
3.11742 3.12166 0.389116
3.11501 3.11576 0.388147
3.11237 3.1106 0.387035
3.10985 3.10566 0.385787
3.10767 3.09998 0.384436
3.10583 3.09248 0.383024
3.10414 3.08253 0.381593
3.10226 3.07048 0.380169
3.09993 3.05766 0.378758
3.09711 3.04569 0.377354
3.09402 3.03569 0.375957
3.09109 3.02789 0.374592
3.08875 3.02146 0.373307
3.08729 3.01486 0.372173
3.08673 3.00675 0.371264
3.08684 2.99724 0.370645
3.08736 2.9883 0.370352
3.08825 2.98286 0.370395
3.08984 2.98325 0.370774
3.09271 2.99011 0.371496
3.09735 3.00213 0.372588
3.10386 3.01664 0.374085
3.11177 3.03088 0.376006
3.1202 3.04372 0.378328
3.12834 3.05662 0.380975
3.13598 3.07279 0.383822
3.14368 3.09477 0.38674
3.1525 3.1226 0.389639
3.16329 3.15381 0.392493
3.17609 3.18476 0.395328
3.18996 3.21217 0.398181
3.20341 3.2344 0.401055
3.21513 3.25213 0.403896
3.22457 3.2679 0.406594
3.23205 3.28465 0.409014
3.23845 3.30393 0.411041
3.24465 3.32497 0.412619
3.25112 3.34522 0.413771
3.25768 3.3617 0.414577
3.26366 3.37229 0.415145
3.26829 3.37661 0.415557
3.27098 3.37626 0.415837
3.27157 3.37439 0.415946
3.27034 3.37436 0.415787
3.26786 3.37792 0.415242
3.26472 3.38432 0.41421
3.26125 3.39106 0.412632
3.25735 3.39514 0.410493
3.25266 3.39391 0.407787
3.24671 3.38544 0.404491
3.23912 3.36886 0.40054
3.22946 3.34391 0.395827
3.21728 3.31058 0.390231
3.20219 3.26991 0.383636
3.18403 3.22319 0.375968
3.16316 3.16792 0.367252
3.14039 3.09844 0.357696
3.1163 3.01345 0.34768
3.09078 2.91916 0.337621
3.06367 2.8236 0.327859
3.03547 2.73214 0.318631
3.00728 2.64755 0.310115
2.98019 2.57077 0.30249
2.95477 2.50138 0.29597
2.93098 2.43863 0.290778
2.90836 2.38292 0.287091
2.88606 2.33595 0.284969
2.86286 2.29933 0.284327
2.83738 2.27361 0.284953
2.80858 2.25883 0.286548
2.77625 2.25474 0.28879
2.74102 2.2596 0.291402
2.70399 2.26959 0.294208
2.66629 2.28065 0.297151
2.6288 2.29044 0.300246
2.59207 2.29916 0.303512
2.55642 2.30989 0.306912
2.52208 2.32761 0.310336
2.48946 2.3556 0.313649
2.45931 2.39278 0.31675
2.43282 2.43624 0.319593
2.41179 2.48271 0.32213
2.39854 2.52698 0.324278
2.39472 2.56441 0.325906
2.39942 2.59489 0.326844
2.40849 2.62021 0.326939
2.41641 2.63906 0.32614
2.41901 2.6471 0.32454
2.41473 2.64095 0.322349
2.40408 2.62112 0.319809
2.38913 2.59077 0.31714
2.37465 2.55512 0.314528
2.36954 2.52296 0.312065
2.38425 2.50396 0.30969
2.42222 2.49904 0.307273
2.47116 2.49734 0.304822
2.50865 2.48799 0.30253
2.52204 2.46437 0.300685
2.51461 2.42635 0.299579
2.49667 2.38679 0.299435
2.48001 2.36358 0.300389
2.47571 2.36466 0.302524
2.49019 2.38449 0.305916
2.52104 2.41457 0.310618
2.55966 2.45021 0.316601
2.59927 2.48946 0.323717
2.63882 2.53492 0.331686
2.68032 2.59196 0.340136
2.72495 2.66313 0.348706
2.77181 2.74487 0.357147
2.81886 2.82903 0.365351
2.86393 2.90898 0.37327
2.90515 2.98264 0.380841
2.9413 3.05013 0.38796
2.97207 3.11307 0.394503
2.99839 3.17566 0.400367
3.02213 3.24148 0.405524
3.04522 3.30912 0.410075
3.0688 3.37315 0.414244
3.09303 3.42907 0.418294
3.1175 3.4771 0.422396
3.14172 3.52219 0.426534
3.16546 3.57099 0.430497
3.189 3.62777 0.433938
3.21295 3.69181 0.436474
3.23757 3.75745 0.437775
3.26196 3.81634 0.437608
3.28396 3.86115 0.435804
3.30119 3.88622 0.432161
3.31251 3.88374 0.426427
3.3179 3.8433 0.418417
3.31701 3.76281 0.408176
3.30798 3.65533 0.396048
3.28886 3.53459 0.382741
3.26064 3.40342 0.369224
3.22613 3.26093 0.356382
3.18772 3.11228 0.344781
3.14739 2.96801 0.334683
3.10739 2.84014 0.326126
3.06966 2.73631 0.319003
3.03446 2.6533 0.313115
2.99936 2.58516 0.308188
2.96008 2.52825 0.303856
2.91302 2.47782 0.299716
2.85728 2.42801 0.295466
2.79529 2.37499 0.291045
2.73144 2.31653 0.286663
2.67009 2.25388 0.282715
2.61437 2.19343 0.279577
2.56629 2.14416 0.277407
2.52726 2.1133 0.276082
2.49791 2.10292 0.275272
2.47715 2.10898 0.274576
2.46197 2.12292 0.273627
2.44875 2.13592 0.272167
2.43479 2.14252 0.270045
2.41876 2.14126 0.267196
2.40022 2.13268 0.263652
2.37898 2.11583 0.259572
2.35519 2.08893 0.25524
2.32951 2.05403 0.250972
2.30291 2.01704 0.247008
2.27623 1.9829 0.243465
2.25003 1.95322 0.240371
2.22458 1.92743 0.237694
2.19993 1.90486 0.235362
2.17595 1.88525 0.233266
2.15244 1.86809 0.231272
2.12919 1.8524 0.229245
2.10607 1.83701 0.22707
2.08304 1.82063 0.224672
2.06026 1.802 0.222032
2.038 1.78034 0.219181
2.0166 1.75577 0.216202
1.99638 1.72927 0.213202
1.97756 1.70232 0.210292
1.96021 1.67631 0.207566
1.94429 1.65222 0.20509
1.92966 1.63055 0.202888
1.91615 1.6115 0.200946
1.90352 1.59512 0.199205
1.89153 1.5813 0.197574
1.87993 1.5696 0.195944
1.86848 1.55922 0.19421
1.85694 1.5491 0.192291
1.84512 1.53823 0.19014
1.83284 1.52584 0.187741
1.82001 1.51156 0.185109
1.80657 1.49537 0.182275
1.7925 1.47755 0.17928
1.77782 1.45856 0.176164
1.76258 1.4389 0.172962
1.74684 1.41908 0.169703
1.73069 1.39947 0.166405
1.71423 1.38034 0.163082
1.69753 1.36183 0.159742
1.68069 1.34397 0.156396
1.66378 1.32677 0.15305
1.64689 1.31017 0.149714
1.63006 1.29416 0.1464
1.61337 1.27873 0.143116
1.59685 1.2639 0.139872
1.58056 1.24969 0.136672
1.56451 1.23613 0.133522
1.54874 1.22324 0.130423
1.53328 1.21101 0.127377
1.51813 1.19942 0.124384
1.50332 1.18846 0.121445
1.48884 1.17809 0.118561
1.47472 1.16829 0.115734
1.46095 1.15902 0.112964
1.44754 1.15028 0.110252
1.43449 1.14204 0.107598
1.4218 1.13427 0.105003
1.40947 1.12695 0.102466
1.3975 1.12005 0.0999872
1.38589 1.11355 0.0975652
1.37462 1.10742 0.0951994
1.3637 1.10164 0.092889
1.35312 1.09617 0.090633
1.34286 1.09101 0.0884307
1.33293 1.08613 0.0862811
1.32331 1.08151 0.0841834
1.314 1.07715 0.0821365
1.30499 1.07302 0.0801397
1.29626 1.06911 0.0781921
1.28782 1.06541 0.0762929
1.27965 1.06191 0.0744413
1.27174 1.05859 0.0726364
1.26408 1.05545 0.0708775
1.25667 1.05248 0.0691637
1.2495 1.04967 0.0674942
1.24255 1.04701 0.0658683
1.23583 1.0445 0.064285
1.22932 1.04211 0.0627435
1.22301 1.03986 0.0612432
1.21691 1.03773 0.059783
1.21099 1.03571 0.0583622
1.20526 1.0338 0.0569801
1.19971 1.032 0.0556356
1.19432 1.03029 0.0543281
1.18911 1.02868 0.0530568
1.18405 1.02715 0.0518208
1.17915 1.02571 0.0506193
1.17439 1.02434 0.0494516
1.16978 1.02305 0.0483168
1.1653 1.02183 0.0472142
1.16095 1.02068 0.046143
1.15674 1.01959 0.0451024
1.15265 1.01855 0.0440917
1.14867 1.01758 0.0431102
1.14481 1.01666 0.042157
1.14107 1.01579 0.0412316
1.13742 1.01496 0.0403331
1.13389 1.01418 0.0394609
1.13045 1.01345 0.0386143
1.12711 1.01275 0.0377925
1.12386 1.01209 0.036995
1.1207 1.01147 0.036221
1.11763 1.01088 0.03547
1.11465 1.01033 0.0347412
1.11174 1.0098 0.0340341
1.10892 1.00931 0.0333481
1.10617 1.00884 0.0326825
1.10349 1.00839 0.0320368
1.10089 1.00797 0.0314103
1.09836 1.00758 0.0308026
1.09589 1.0072 0.030213
1.09349 1.00685 0.0296411
1.09115 1.00651 0.0290863
1.08888 1.00619 0.0285481
1.08666 1.00589 0.028026
1.08451 1.00561 0.0275195
1.0824 1.00534 0.0270282
1.08036 1.00508 0.0265514
1.07836 1.00484 0.0260889
1.07642 1.00461 0.0256401
1.07453 1.0044 0.0252047
1.07268 1.00419 0.0247821
1.07088 1.004 0.0243721
1.06913 1.00381 0.0239741
1.06743 1.00364 0.0235878
1.06576 1.00348 0.0232129
1.06414 1.00332 0.0228489
1.06256 1.00317 0.0224954
1.06102 1.00303 0.0221523
1.05952 1.0029 0.021819
1.05805 1.00277 0.0214953
1.05663 1.00265 0.0211808
1.05524 1.00254 0.0208753
1.05388 1.00243 0.0205784
1.05256 1.00233 0.0202899
1.05127 1.00223 0.0200094
1.05001 1.00214 0.0197368
1.04878 1.00205 0.0194716
1.04759 1.00197 0.0192137
1.04642 1.00189 0.0189629
