% ./projectseries.x -T0 0 -T1 400 -bd UBbasis/ -Nb 4 -d data/uUB3 -ul uUB3 -o uUB3.asc 
% forcing dissipation energy
2.27529 2.57597 0.323102
2.27912 2.61409 0.323896
2.29727 2.65071 0.324359
2.33334 2.69072 0.324418
2.38805 2.73521 0.323862
2.45874 2.77749 0.322521
2.53992 2.80558 0.320385
2.62353 2.8132 0.317532
2.70178 2.80641 0.313962
2.77104 2.79577 0.309658
2.83081 2.78544 0.304769
2.88225 2.77849 0.299609
2.92915 2.77818 0.294578
2.9761 2.7837 0.290154
3.02308 2.78908 0.286814
3.06319 2.78656 0.284936
3.08555 2.77046 0.284698
3.08046 2.73733 0.286001
3.04359 2.68685 0.288419
2.97857 2.62469 0.291264
2.89573 2.56195 0.293792
2.80693 2.50987 0.295477
2.72036 2.48204 0.296059
2.63926 2.48849 0.295316
2.56368 2.48571 0.293121
2.49268 2.43685 0.289731
2.42534 2.36672 0.285468
2.36064 2.30594 0.280421
2.29857 2.25852 0.274606
2.2416 2.21159 0.268216
2.19491 2.15663 0.261622
2.16483 2.09689 0.255206
2.15359 2.04377 0.249301
2.15637 2.0051 0.243966
2.16603 1.97516 0.23904
2.17499 1.94725 0.234555
2.17887 1.92668 0.230614
2.17883 1.91465 0.227211
2.17755 1.9065 0.224291
2.17609 1.90038 0.221785
2.17409 1.89558 0.219607
2.17106 1.88998 0.217643
2.16683 1.88231 0.215796
2.16131 1.87306 0.214012
2.15432 1.86267 0.212265
2.14563 1.8507 0.210536
2.13512 1.83696 0.208792
2.12293 1.82303 0.206965
2.10953 1.81144 0.204939
2.09568 1.80262 0.2026
2.08204 1.79366 0.1999
2.06885 1.78175 0.196897
2.05571 1.76722 0.193705
2.04181 1.75146 0.190406
2.02635 1.73348 0.187045
2.00884 1.71134 0.183716
1.989 1.68472 0.180595
1.96673 1.65519 0.177882
1.94219 1.62485 0.175731
1.91581 1.59523 0.174224
1.8882 1.5675 0.173374
1.86006 1.54347 0.173111
1.83218 1.52571 0.173276
1.80538 1.5153 0.173649
1.78042 1.51041 0.174021
1.75785 1.50754 0.174258
1.73792 1.50325 0.174316
1.72051 1.49528 0.174237
1.70519 1.48293 0.174109
1.69139 1.46684 0.174024
1.67848 1.44867 0.174049
1.66595 1.43057 0.174208
1.65344 1.41439 0.174486
1.6408 1.40096 0.174854
1.62805 1.39013 0.175283
1.61534 1.38124 0.175764
1.60286 1.37364 0.176298
1.59079 1.36685 0.176892
1.5793 1.36071 0.177553
1.56848 1.35521 0.178275
1.55838 1.35049 0.179044
1.54901 1.34665 0.179836
1.54035 1.34372 0.180625
1.53235 1.34158 0.181382
1.52496 1.34002 0.182088
1.51812 1.33881 0.182729
1.51178 1.33774 0.183295
1.50586 1.33668 0.183786
1.50032 1.33555 0.184198
1.49511 1.33433 0.184535
1.49017 1.333 0.184795
1.48547 1.33157 0.18498
1.48095 1.33003 0.185091
1.47659 1.32839 0.185127
1.47234 1.32664 0.185088
1.46819 1.32476 0.184975
1.46409 1.32275 0.184788
1.46004 1.32061 0.18453
1.45601 1.31832 0.184199
1.45199 1.3159 0.183799
1.44797 1.31332 0.183331
1.44393 1.3106 0.182796
1.43987 1.30775 0.182196
1.43578 1.30475 0.181534
1.43165 1.30162 0.180812
1.42749 1.29836 0.180032
1.42328 1.29499 0.179196
1.41903 1.29149 0.178306
1.41474 1.28789 0.177364
1.4104 1.28419 0.176372
1.40601 1.2804 0.175333
1.40159 1.27651 0.17425
1.39712 1.27255 0.173123
1.39261 1.26851 0.171955
1.38807 1.26441 0.170748
1.38349 1.26025 0.169505
1.37887 1.25603 0.168227
1.37423 1.25177 0.166917
1.36956 1.24747 0.165576
1.36487 1.24314 0.164206
1.36016 1.23878 0.16281
1.35543 1.23441 0.161388
1.35068 1.23001 0.159944
1.34593 1.22561 0.158477
1.34117 1.22121 0.156992
1.3364 1.21681 0.155488
1.33163 1.21242 0.153967
1.32687 1.20804 0.152432
1.3221 1.20368 0.150883
1.31735 1.19934 0.149321
1.3126 1.19502 0.14775
1.30787 1.19073 0.146169
1.30315 1.18648 0.14458
1.29845 1.18226 0.142984
1.29377 1.17808 0.141382
1.28912 1.17394 0.139776
1.28448 1.16985 0.138167
1.27988 1.16581 0.136556
1.2753 1.16181 0.134943
1.27076 1.15786 0.133329
1.26624 1.15397 0.131717
1.26176 1.15014 0.130106
1.25732 1.14636 0.128497
1.25291 1.14264 0.126891
1.24854 1.13898 0.125289
1.24421 1.13537 0.123692
1.23992 1.13183 0.1221
1.23568 1.12835 0.120514
1.23148 1.12494 0.118935
1.22732 1.12159 0.117363
1.22321 1.1183 0.115799
1.21914 1.11507 0.114243
1.21512 1.11191 0.112695
1.21115 1.10881 0.111157
1.20722 1.10577 0.109629
1.20335 1.1028 0.108111
1.19952 1.0999 0.106603
1.19575 1.09705 0.105107
1.19202 1.09427 0.103621
1.18834 1.09155 0.102147
1.18471 1.0889 0.100686
1.18114 1.0863 0.0992358
1.17761 1.08377 0.0977985
1.17414 1.0813 0.096374
1.17071 1.07888 0.0949623
1.16734 1.07653 0.0935638
1.16402 1.07423 0.0921786
1.16075 1.07199 0.090807
1.15753 1.06981 0.0894489
1.15435 1.06768 0.0881047
1.15123 1.06561 0.0867745
1.14816 1.06359 0.0854583
1.14514 1.06162 0.0841562
1.14217 1.05971 0.0828684
1.13925 1.05785 0.0815949
1.13638 1.05604 0.0803358
1.13355 1.05428 0.0790911
1.13078 1.05256 0.077861
1.12805 1.0509 0.0766453
1.12537 1.04928 0.0754442
1.12274 1.0477 0.0742576
1.12015 1.04617 0.0730856
1.11761 1.04469 0.0719282
1.11511 1.04324 0.0707853
1.11266 1.04184 0.0696569
1.11026 1.04048 0.068543
1.1079 1.03916 0.0674436
1.10558 1.03788 0.0663587
1.10331 1.03663 0.065288
1.10108 1.03543 0.0642317
1.09889 1.03426 0.0631897
1.09674 1.03312 0.0621619
1.09464 1.03202 0.0611482
