0 5  -0.11743676677635 3.02415602403299 
0 6  0.00000001315891 3.14159266977869 
0 7  0.11743680666031 3.25902929084029 
1 5  -0.00000002218100 3.14159276151522 
1 6  0.11743680666031 3.25902929084029 
1 7  0.52359885191935 3.66519140412099 
1 8  0.92976093005924 -2.21183188876582 
1 9  1.04719765212625 -2.09439518039710 
2 7  0.92976093005924 -2.21183188876582 
2 8  1.04719759666208 -2.09439506798784 
2 9  1.16463422988898 -1.97695853739372 
3 7  1.04719765212625 -2.09439518039710 
3 8  1.16463422988898 -1.97695853739372 
3 9  1.57079634618536 4.71238888687571 
3 10  1.97695847219412 -1.16463432360123 
3 11  2.09439503675752 -1.04719758268233 
4 9  1.97695847219412 -1.16463432360123 
4 10  2.09439510623320 -1.04719752078135 
4 11  2.21183190285298 -0.92976084506574 
5 9  2.09439503675752 -1.04719758268233 
5 10  2.21183190285298 -0.92976084506574 
5 11  2.61799385814248 -0.52359884106942 
6 11  3.02415590489817 -0.11743666488005 
7 11  3.14159257127371 0.00000009897859 
