% ./projectseries.x -T0 0 -T1 400 -bd basis2/ -Nb 4 -d data/u2 -ul u2 -o u2basis2.asc 
% forcing dissipation energy
2.77811 2.62236 0.291531
2.7739 2.58414 0.290659
2.75559 2.53096 0.289767
2.72751 2.47502 0.289066
2.69577 2.42645 0.288663
2.66534 2.38804 0.288502
2.63754 2.36129 0.288311
2.6103 2.34588 0.287695
2.58091 2.33302 0.286365
2.548 2.31106 0.284267
2.51186 2.27532 0.281533
2.47385 2.22853 0.278372
2.43555 2.17745 0.274989
2.39814 2.12978 0.271552
2.36228 2.08806 0.268195
2.32813 2.05105 0.265044
2.29542 2.01847 0.262187
2.2637 1.99161 0.259623
2.23249 1.97189 0.257251
2.20151 1.95953 0.25489
2.17072 1.95332 0.252345
2.14032 1.95157 0.249462
2.11073 1.95225 0.246164
2.08253 1.95224 0.242453
2.0563 1.9478 0.238393
2.03248 1.93645 0.234063
2.01129 1.91813 0.229525
1.99264 1.8946 0.224835
1.97619 1.86804 0.220061
1.96145 1.84018 0.2153
1.94787 1.81209 0.210662
1.93492 1.78396 0.206246
1.92216 1.75522 0.202136
1.9093 1.72552 0.198406
1.89638 1.69567 0.195114
1.88383 1.66755 0.192278
1.87232 1.64282 0.189848
1.86244 1.62197 0.18771
1.85413 1.60415 0.185729
1.84662 1.58772 0.183797
1.8388 1.5714 0.18185
1.82978 1.55521 0.179842
1.81913 1.53987 0.177737
1.80676 1.5256 0.175514
1.79279 1.51174 0.173171
1.77748 1.49707 0.170735
1.76116 1.48071 0.168263
1.74416 1.46281 0.165826
1.7268 1.44403 0.163504
1.70933 1.42484 0.161366
1.69195 1.40571 0.159455
1.67479 1.38724 0.157769
1.658 1.37007 0.156254
1.64167 1.35463 0.154823
1.62589 1.34099 0.153386
1.61071 1.32895 0.151876
1.59617 1.31814 0.150257
1.58226 1.30809 0.148531
1.56899 1.29828 0.146725
1.55633 1.28818 0.144888
1.54423 1.27743 0.143078
1.53266 1.26595 0.141351
1.52155 1.25397 0.139753
1.51084 1.24197 0.13831
1.50047 1.23044 0.137027
1.49038 1.21985 0.135891
