% ./projectseries.x -T0 0 -T1 400 -bd basis1/ -Nb 4 -d data/u1 -ul u1 -o u1basis1.asc 
% forcing dissipation energy
1.47168 11.7108 0.730791
1.98237 11.7698 0.730498
2.6425 12.1751 0.73347
3.24411 13.0285 0.707775
3.49961 13.6152 0.694403
3.70029 14.0756 0.680112
3.8777 13.9289 0.646184
3.92207 13.2667 0.625225
3.79754 13.2227 0.601833
3.78129 12.1657 0.555079
3.56935 10.6449 0.522402
3.4137 9.41871 0.508684
3.37638 8.90418 0.478449
3.41032 8.74395 0.444932
3.3216 7.78141 0.430856
3.33067 7.34038 0.42549
3.37594 6.9586 0.414637
3.36412 6.69413 0.39987
3.36922 6.43786 0.385792
3.32149 5.94891 0.371198
3.29909 5.49335 0.35984
3.31694 5.04227 0.353845
3.33765 4.81496 0.356335
3.44156 4.78659 0.364414
3.51145 4.7771 0.376025
3.57151 4.77298 0.38865
3.64366 4.79251 0.399626
3.7356 4.83556 0.407081
3.8109 4.80414 0.410965
3.82499 4.69766 0.412503
3.80024 4.60923 0.411897
3.77147 4.52166 0.408983
3.74904 4.40853 0.404163
3.74229 4.29675 0.398376
3.77166 4.21235 0.392156
3.82873 4.12961 0.385469
3.85728 4.01292 0.378436
3.82833 3.86079 0.371574
3.7498 3.67887 0.365619
3.64527 3.49944 0.361332
3.5438 3.36733 0.359014
3.46134 3.27937 0.358528
3.39338 3.2164 0.35959
3.33302 3.16817 0.361792
3.27891 3.1283 0.364722
3.23276 3.09586 0.36791
3.19476 3.08208 0.370764
3.16615 3.08958 0.372859
3.15005 3.10859 0.374208
3.14448 3.12866 0.375126
3.142 3.13911 0.375933
3.13584 3.13061 0.376802
3.12271 3.10586 0.37773
3.10265 3.078 0.378571
3.0785 3.05329 0.379177
3.05423 3.03027 0.379499
3.03306 3.01054 0.379548
3.01622 2.99792 0.37932
3.00301 2.993 0.378798
2.99193 2.99323 0.377971
2.98172 2.99533 0.376823
2.9718 2.99593 0.375334
2.96184 2.99126 0.373501
2.95118 2.97855 0.371362
2.93944 2.95768 0.368985
2.92699 2.93053 0.366441
2.91469 2.90034 0.363772
2.90334 2.87028 0.360986
2.89337 2.84267 0.358081
2.88476 2.81899 0.35505
2.87736 2.79929 0.351891
2.87107 2.78173 0.348621
2.86578 2.76372 0.345291
2.86124 2.74365 0.341972
2.85732 2.72156 0.338738
2.85425 2.69882 0.335671
2.85262 2.67753 0.332895
2.85303 2.65939 0.330614
2.85577 2.64511 0.329109
2.86065 2.63513 0.328661
2.86719 2.63066 0.329441
2.87461 2.63214 0.331464
2.88159 2.63773 0.334614
2.88651 2.64521 0.338711
2.88821 2.65437 0.343538
2.88678 2.66641 0.348864
2.88347 2.6823 0.35446
2.88001 2.70324 0.360125
2.87808 2.73136 0.365673
2.87897 2.76804 0.370921
2.88339 2.81252 0.375691
2.89128 2.86241 0.379817
2.90191 2.91506 0.38317
2.91435 2.96809 0.385662
2.92778 3.01927 0.387257
2.94163 3.06589 0.38798
2.95545 3.10494 0.3879
2.96881 3.13424 0.387103
2.98132 3.15369 0.385648
2.99288 3.16537 0.383542
3.00376 3.17222 0.380761
3.01463 3.17659 0.377311
3.02651 3.17965 0.373307
3.04077 3.18118 0.368997
3.05901 3.17979 0.364713
3.08266 3.17426 0.360789
3.11238 3.16486 0.357474
3.14755 3.15343 0.354883
3.18605 3.14207 0.352989
3.22463 3.13181 0.351638
3.25937 3.12141 0.350584
3.2858 3.10658 0.349552
3.2997 3.0821 0.348313
3.29824 3.04606 0.346743
3.27991 3.00223 0.34483
3.24447 2.95794 0.342653
3.19415 2.91893 0.340338
3.13455 2.88748 0.338019
3.07309 2.86392 0.33583
3.01613 2.84965 0.333886
2.96776 2.84799 0.332184
2.9307 2.86076 0.330516
2.90771 2.88257 0.328514
2.90129 2.90345 0.325811
2.91034 2.91474 0.322187
2.9281 2.90964 0.317678
2.94551 2.88433 0.312601
2.95535 2.84021 0.307508
2.95256 2.78544 0.303064
2.93468 2.73339 0.299936
2.90426 2.69402 0.298687
2.86776 2.67127 0.299499
2.83041 2.6622 0.301984
2.79516 2.66507 0.305353
2.76567 2.6781 0.308751
2.74522 2.69983 0.311455
2.73173 2.7352 0.312861
2.72144 2.78063 0.312453
2.71322 2.81471 0.310045
2.70297 2.82141 0.305914
2.68607 2.80212 0.300606
2.66361 2.75512 0.294781
2.64613 2.68287 0.289136
2.64211 2.60031 0.284167
2.64508 2.52001 0.280036
2.64598 2.44718 0.27662
2.64221 2.38489 0.273691
2.63498 2.33395 0.271084
2.62463 2.28971 0.268726
2.60852 2.24885 0.266542
2.58418 2.21232 0.264391
2.55161 2.17892 0.262113
2.5123 2.14655 0.2596
2.46806 2.11375 0.256857
2.42062 2.07784 0.254015
2.37143 2.0366 0.251277
2.32168 1.99139 0.248809
2.27225 1.94687 0.246661
2.22379 1.90799 0.24474
2.17683 1.87717 0.242873
2.13179 1.85394 0.240882
2.08901 1.83572 0.238641
2.04875 1.81916 0.236108
2.01113 1.80156 0.233306
1.97622 1.78127 0.230295
1.94405 1.75747 0.227145
1.91454 1.73023 0.223917
1.88756 1.70068 0.22066
1.86281 1.67052 0.217395
1.83996 1.6415 0.214123
1.81865 1.6147 0.210825
1.79853 1.59027 0.20748
1.77936 1.56767 0.204079
1.76094 1.54615 0.20063
1.74317 1.5252 0.197149
1.72599 1.50467 0.193648
1.70937 1.48466 0.190133
1.6933 1.46527 0.186602
1.67773 1.44647 0.183051
1.66265 1.42813 0.17948
1.64801 1.41009 0.1759
1.63377 1.39222 0.172331
1.6199 1.37453 0.168801
1.6064 1.35711 0.165338
1.59324 1.34008 0.161965
1.58042 1.32359 0.158697
1.56791 1.30777 0.155542
1.55569 1.2927 0.152502
1.54375 1.27844 0.149573
1.53206 1.26502 0.146752
1.52061 1.25245 0.144032
1.50937 1.24075 0.141408
1.49836 1.22989 0.138875
1.48756 1.21983 0.136428
1.47698 1.21052 0.134063
1.46662 1.20185 0.131777
1.45649 1.19375 0.129569
1.44659 1.18613 0.127437
1.43694 1.17893 0.125381
1.42753 1.17209 0.123399
1.41838 1.1656 0.121491
1.40948 1.15946 0.119654
1.40084 1.15366 0.117887
1.39246 1.1482 0.116186
1.38433 1.14307 0.11455
1.37645 1.13826 0.112975
1.3688 1.13374 0.111457
1.36139 1.1295 0.109993
1.3542 1.1255 0.108579
1.34723 1.12174 0.107213
1.34047 1.11818 0.105891
1.3339 1.11481 0.104609
1.32751 1.11161 0.103366
1.3213 1.10857 0.102158
1.31526 1.10566 0.100982
1.30937 1.10288 0.0998374
1.30363 1.10022 0.0987205
1.29802 1.09766 0.0976297
1.29255 1.0952 0.0965628
1.2872 1.09283 0.0955181
1.28196 1.09055 0.0944938
1.27683 1.08834 0.0934883
1.27181 1.0862 0.0925001
1.26688 1.08413 0.0915276
1.26205 1.08213 0.0905696
1.2573 1.08018 0.0896248
1.25264 1.07829 0.0886922
1.24806 1.07645 0.0877706
1.24356 1.07466 0.0868592
1.23913 1.07291 0.085957
1.23478 1.07121 0.0850633
1.2305 1.06955 0.0841775
1.22628 1.06793 0.0832988
1.22213 1.06634 0.0824267
1.21805 1.06479 0.0815607
1.21403 1.06327 0.0807004
1.21007 1.06178 0.0798455
1.20617 1.06033 0.0789954
1.20233 1.0589 0.0781501
1.19855 1.05751 0.0773092
1.19483 1.05614 0.0764726
1.19116 1.05479 0.0756401
1.18755 1.05348 0.0748115
1.18399 1.05219 0.0739868
1.18049 1.05092 0.0731658
1.17705 1.04968 0.0723486
1.17365 1.04846 0.0715351
1.17031 1.04726 0.0707253
1.16702 1.04609 0.0699193
1.16378 1.04494 0.0691169
1.16059 1.04381 0.0683184
1.15746 1.04271 0.0675236
1.15437 1.04162 0.0667327
1.15133 1.04056 0.0659458
1.14834 1.03952 0.0651629
1.1454 1.0385 0.0643842
1.14251 1.0375 0.0636096
1.13966 1.03652 0.0628393
1.13687 1.03556 0.0620733
1.13411 1.03462 0.0613119
1.13141 1.0337 0.060555
1.12875 1.0328 0.0598027
1.12613 1.03191 0.0590553
1.12356 1.03105 0.0583126
1.12103 1.03021 0.057575
1.11855 1.02938 0.0568424
1.11611 1.02858 0.0561149
1.11371 1.02779 0.0553926
1.11136 1.02701 0.0546757
1.10905 1.02626 0.0539641
1.10677 1.02553 0.0532581
1.10454 1.02481 0.0525576
1.10235 1.0241 0.0518628
1.1002 1.02342 0.0511736
1.09808 1.02275 0.0504903
1.09601 1.0221 0.0498128
1.09397 1.02146 0.0491412
1.09198 1.02084 0.0484756
1.09002 1.02023 0.047816
1.08809 1.01964 0.0471625
1.0862 1.01907 0.0465151
1.08435 1.0185 0.0458739
1.08253 1.01796 0.0452389
1.08075 1.01742 0.0446102
1.079 1.01691 0.0439877
1.07729 1.0164 0.0433716
1.07561 1.01591 0.0427618
1.07396 1.01543 0.0421584
1.07234 1.01496 0.0415614
1.07076 1.01451 0.0409708
1.06921 1.01407 0.0403866
1.06768 1.01364 0.0398088
1.06619 1.01322 0.0392375
1.06473 1.01281 0.0386726
1.0633 1.01242 0.0381142
1.06189 1.01203 0.0375623
1.06052 1.01166 0.0370168
1.05917 1.0113 0.0364777
1.05785 1.01094 0.0359451
1.05656 1.0106 0.0354189
1.05529 1.01027 0.0348991
1.05405 1.00995 0.0343857
1.05284 1.00963 0.0338787
1.05165 1.00933 0.033378
1.05048 1.00903 0.0328837
1.04934 1.00874 0.0323957
1.04822 1.00847 0.0319141
1.04713 1.0082 0.0314386
1.04606 1.00793 0.0309694
1.04502 1.00768 0.0305065
1.04399 1.00743 0.0300496
1.04299 1.00719 0.029599
1.04201 1.00696 0.0291544
1.04105 1.00673 0.0287159
1.04011 1.00651 0.0282835
1.03919 1.0063 0.027857
1.03829 1.0061 0.0274365
1.03741 1.0059 0.0270219
1.03655 1.00571 0.0266132
1.0357 1.00552 0.0262103
1.03488 1.00534 0.0258132
1.03407 1.00516 0.0254218
1.03329 1.00499 0.0250361
1.03252 1.00483 0.0246561
1.03176 1.00467 0.0242816
1.03103 1.00451 0.0239128
1.0303 1.00436 0.0235494
1.0296 1.00422 0.0231914
1.02891 1.00408 0.0228389
1.02824 1.00394 0.0224917
1.02758 1.00381 0.0221497
1.02693 1.00368 0.0218131
1.0263 1.00356 0.0214816
1.02569 1.00344 0.0211553
1.02509 1.00333 0.020834
1.0245 1.00322 0.0205178
1.02393 1.00311 0.0202066
1.02336 1.003 0.0199003
1.02281 1.0029 0.0195989
1.02228 1.0028 0.0193022
1.02175 1.00271 0.0190104
1.02124 1.00262 0.0187232
1.02074 1.00253 0.0184408
1.02025 1.00245 0.0181629
1.01977 1.00236 0.0178895
1.01931 1.00228 0.0176207
1.01885 1.00221 0.0173562
1.0184 1.00213 0.0170962
1.01797 1.00206 0.0168405
1.01754 1.00199 0.016589
1.01713 1.00192 0.0163418
1.01672 1.00186 0.0160988
1.01632 1.00179 0.0158598
1.01594 1.00173 0.0156249
1.01556 1.00168 0.015394
1.01519 1.00162 0.015167
1.01483 1.00156 0.014944
1.01447 1.00151 0.0147247
1.01413 1.00146 0.0145093
1.01379 1.00141 0.0142976
1.01346 1.00136 0.0140896
1.01314 1.00132 0.0138852
1.01283 1.00127 0.0136843
1.01252 1.00123 0.013487
1.01222 1.00119 0.0132932
1.01193 1.00115 0.0131028
1.01165 1.00111 0.0129158
1.01137 1.00107 0.012732
1.01109 1.00103 0.0125516
1.01083 1.001 0.0123744
1.01057 1.00097 0.0122003
1.01032 1.00093 0.0120294
1.01007 1.0009 0.0118615
1.00983 1.00087 0.0116966
1.00959 1.00084 0.0115348
1.00936 1.00081 0.0113758
1.00914 1.00079 0.0112198
1.00892 1.00076 0.0110665
1.0087 1.00074 0.0109161
1.00849 1.00071 0.0107684
1.00829 1.00069 0.0106234
1.00809 1.00067 0.010481
1.0079 1.00064 0.0103413
1.00771 1.00062 0.0102041
1.00752 1.0006 0.0100694
1.00734 1.00058 0.00993717
1.00716 1.00056 0.00980739
1.00699 1.00054 0.00968
1.00682 1.00053 0.00955495
1.00666 1.00051 0.00943221
1.0065 1.00049 0.00931173
1.00634 1.00048 0.00919347
1.00619 1.00046 0.00907739
1.00604 1.00045 0.00896345
1.00589 1.00043 0.00885161
1.00575 1.00042 0.00874183
1.00561 1.0004 0.00863408
1.00548 1.00039 0.00852832
1.00534 1.00038 0.0084245
1.00521 1.00037 0.0083226
1.00509 1.00036 0.00822257
