5.377947397763015447e-01 3.730722235562082545e-02 3.423585430339812219e-02
4.320912331165674969e-01 2.669186474397259798e-02 4.130479784267163113e-02
5.615777690995973348e-01 5.934128745541528138e-02 2.851068512158918752e-02
5.029631418299592704e-01 -4.167216406809584606e-02 4.789577208649248297e-02
6.775685582871308066e-01 -3.095784640104868451e-02 4.963548790852923692e-02
4.491427154117021980e-01 1.413984245043140298e-01 5.367424859540006858e-03
4.567119574851135066e-01 1.402793800214572895e-01 5.881411193279368656e-03
2.232586946682388329e-01 5.365459035438105428e-02 4.415173635758130183e-02
4.215065325474078306e-01 4.380669960187421469e-02 3.782614652561711033e-02
5.890763705285380070e-01 4.306969121573418768e-02 3.269608838458908096e-02
