<<<<<<< .mine
          0.139039729307535331         -0.238420230341394590
          0.139039729307479321          0.238420230341392675
         -0.000000000022702947          0.000000000000007321
         -0.084026559292284225         -0.160194135458742531
         -0.084026559292344025          0.160194135458753134
         -0.119413927586658919         -0.000000000000007576
         -0.271122643950348019          0.356307159035923526
         -0.271122643950348186         -0.356307159035923526
         -2.013030430057997755         -0.000000000000001231
         -2.037753418521647486          0.000000000000002084
         -5.633955335245496521          0.000000000000000241
=======
          0.139039729314525906          0.238420230329241617
          0.139039729314513166         -0.238420230329238564
          0.000000000021671473          0.000000000000013692
         -0.084026559272958878         -0.160194135486435296
         -0.084026559273066931          0.160194135486425998
         -0.119413927664995326         -0.000000000000013423
         -0.271122643929731955          0.356307159023482700
         -0.271122643929732121         -0.356307159023482534
         -2.013030430071312438          0.000000000000001587
         -2.037753418521144333          0.000000000000003633
         -5.633955335249013707         -0.000000000000000163
>>>>>>> .r558
